lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,room_type_reserved,type_of_meal_plan,booking_status
85,0,1407,12,3,4,1,1,0,0,1
22,2,2796,9,15,4,1,0,0,0,1
42,2,2520,8,30,4,5,2,0,0,1
60,1,1348,6,17,4,5,2,0,3,0
133,3,2915,9,19,4,4,1,0,0,1
72,0,1023,4,3,4,1,2,0,0,0
9,0,2914,5,5,4,1,0,3,0,0
7,1,3380,4,15,3,2,0,4,1,1
15,2,3040,5,29,4,2,2,5,0,1
80,0,794,3,26,3,4,2,0,0,1
291,0,1979,8,19,3,2,0,0,1,0
17,0,425,12,14,4,0,1,0,0,1
166,1,1658,5,19,4,5,2,0,0,0
67,0,2007,5,13,4,2,0,0,3,0
0,0,2738,5,23,4,1,1,0,0,1
256,1,1979,6,15,3,2,0,0,1,0
0,0,937,1,19,4,1,0,0,0,1
103,0,1979,4,19,4,2,0,0,0,0
0,0,1159,9,8,3,1,0,0,0,1
253,0,1114,5,4,3,4,0,0,0,0
14,0,2246,9,21,4,2,1,0,0,1
86,0,2192,12,8,4,3,0,0,0,0
286,0,1114,10,16,3,0,1,0,0,0
39,1,2007,3,6,4,3,2,0,0,0
50,2,1253,11,18,4,2,1,0,0,1
26,0,2978,10,17,4,1,2,0,0,1
14,0,772,5,31,4,2,0,0,3,1
89,0,158,11,16,4,4,0,0,3,0
12,0,2602,7,24,4,0,1,0,3,1
0,0,770,12,23,4,1,0,0,3,1
38,1,2956,7,19,4,2,0,3,0,1
78,1,2141,5,23,4,3,1,0,3,1
1,2,0,1,22,1,1,0,3,0,1
7,1,2670,9,12,4,3,2,0,0,1
150,0,1505,1,2,3,1,2,0,1,1
1,2,1407,8,23,4,0,2,0,0,1
1,1,345,11,29,2,1,0,0,0,1
180,1,1409,10,10,4,0,1,0,3,1
3,0,1438,8,17,2,3,1,0,0,0
164,0,1471,10,2,3,2,0,0,0,1
18,1,2136,10,29,4,1,2,0,3,0
36,1,1659,4,11,4,1,1,0,0,1
3,0,0,9,17,1,1,0,0,0,1
1,0,1652,5,16,4,0,1,0,0,0
245,0,0,9,17,4,1,2,0,1,1
217,0,1510,9,29,4,3,1,0,3,0
14,1,1047,11,14,4,2,1,0,3,1
39,0,1785,8,14,3,2,0,0,1,1
42,0,1182,11,1,4,5,0,0,0,0
11,1,1152,11,6,4,2,2,0,0,1
39,0,2076,7,2,4,1,2,0,0,0
8,1,1438,5,25,4,1,0,0,3,1
192,0,1302,6,24,3,2,0,0,0,1
180,1,2394,8,10,4,4,0,3,0,0
37,1,576,12,14,4,4,0,0,0,1
234,0,1653,9,12,4,5,2,0,0,0
0,0,2005,1,24,4,0,1,3,0,1
48,2,2188,4,25,4,2,1,0,0,1
259,3,779,12,28,4,5,2,0,0,1
6,2,2557,4,5,4,1,0,0,0,1
39,1,1724,7,1,4,1,0,0,3,1
55,2,3341,10,18,4,5,1,5,0,1
41,0,411,12,27,3,5,2,0,0,1
346,1,1979,9,13,3,2,0,0,1,0
51,1,383,12,8,4,3,0,0,0,1
49,1,1724,3,27,4,2,2,3,0,1
90,1,1450,4,23,4,5,2,0,1,0
18,0,292,1,16,4,2,2,0,3,1
4,2,1379,2,9,4,3,0,3,0,1
30,0,937,12,3,2,1,0,0,0,1
47,3,2661,9,2,4,2,1,3,0,1
72,0,2803,9,12,4,5,2,3,0,1
211,0,1471,5,20,3,2,0,0,0,0
377,1,1979,10,14,4,2,0,0,1,0
262,0,554,12,26,4,3,1,0,0,0
90,0,2803,9,7,4,4,0,3,0,0
220,0,2334,9,17,3,1,2,0,1,0
244,0,964,10,30,4,3,2,0,0,0
93,1,1450,4,17,4,3,2,3,0,1
35,1,355,2,9,4,5,0,0,3,0
11,2,540,2,12,3,2,1,3,0,1
15,0,2833,7,6,4,3,0,0,0,1
51,1,268,3,10,4,3,1,0,3,1
116,2,2537,9,23,4,1,0,0,0,1
51,0,1151,3,29,4,1,0,0,0,0
14,1,1505,6,13,4,1,1,0,0,1
280,0,1819,9,19,4,2,1,0,0,0
102,0,1525,10,16,3,2,0,0,1,0
8,0,126,9,9,3,4,0,0,0,1
4,0,800,2,19,2,1,0,0,0,1
83,0,2371,2,28,3,1,2,5,0,1
65,1,3138,4,12,4,3,0,5,0,0
2,0,513,4,17,3,2,2,0,0,1
173,0,1085,10,15,4,4,2,0,0,0
10,1,2539,12,28,4,3,1,3,0,1
213,1,1201,6,30,4,5,2,0,3,1
36,0,582,11,1,3,3,0,0,0,1
91,0,208,12,30,3,4,0,0,3,1
0,1,0,11,10,1,1,0,0,0,1
74,2,1058,11,15,4,4,0,0,0,0
39,0,1525,8,14,3,2,0,0,1,1
40,1,201,11,1,3,3,2,3,0,1
158,1,3058,7,1,4,2,1,5,0,0
7,0,636,11,27,4,5,3,0,3,0
184,1,1152,8,27,4,2,2,0,0,1
15,1,2055,12,28,4,4,0,0,0,1
173,1,3494,7,25,3,2,1,0,1,0
160,1,2430,9,29,4,3,1,3,0,0
180,0,435,10,16,3,1,0,0,0,0
28,0,2085,8,29,4,3,1,0,0,1
57,1,1652,11,11,4,2,1,3,0,1
109,2,2803,9,20,4,3,0,3,0,1
79,2,2192,11,29,4,4,0,0,0,1
91,0,292,9,14,2,2,0,0,0,1
0,1,1109,12,5,4,3,1,0,0,1
8,0,1772,5,10,4,2,0,3,0,0
18,0,1897,4,15,4,2,1,0,0,0
14,1,2758,5,29,4,0,1,3,0,1
5,1,1979,6,8,4,1,0,0,0,1
187,1,1152,8,25,4,4,2,0,0,1
17,1,770,3,17,2,2,0,0,0,1
359,0,1302,9,16,4,2,2,0,0,0
5,0,0,10,21,4,1,0,0,0,1
187,0,709,10,10,4,2,1,0,0,0
26,0,2136,6,8,3,1,0,0,0,1
9,0,1646,5,31,4,3,0,0,0,1
257,0,1525,7,1,4,2,0,0,1,0
50,0,2430,11,11,4,2,0,0,1,0
207,0,1409,10,4,4,1,0,0,3,0
75,0,698,3,21,4,1,1,1,0,1
75,2,2098,6,17,4,2,2,1,0,1
0,0,2796,5,26,4,3,0,0,3,1
26,1,2602,10,16,4,4,2,0,0,1
16,1,1377,9,30,4,1,0,0,0,1
5,1,3229,3,25,4,2,0,3,0,1
9,1,1721,6,13,4,1,1,0,0,1
172,0,1144,8,15,4,5,1,0,3,0
353,0,545,12,29,4,3,1,1,0,0
93,0,1979,10,15,3,1,2,0,0,0
84,1,214,11,5,4,1,0,0,3,1
1,0,338,1,14,4,1,0,0,3,1
159,1,435,4,9,3,1,1,0,0,1
43,0,1989,5,31,4,3,0,0,0,1
73,0,2305,5,7,4,1,0,0,0,0
49,1,1151,4,19,4,1,0,0,0,1
67,1,355,3,10,4,3,0,0,3,1
36,0,2430,4,1,4,2,0,3,0,0
29,0,937,12,2,2,2,0,0,0,1
80,0,1025,1,7,4,1,0,0,0,1
18,0,2648,6,7,4,7,2,3,0,0
24,0,777,11,27,4,1,2,0,0,1
164,0,1353,8,29,4,2,1,0,0,0
213,0,2393,6,7,4,3,0,0,0,0
161,1,1369,7,15,3,2,1,0,0,1
122,0,971,3,27,3,1,2,0,1,1
42,0,556,2,26,3,2,0,0,0,1
130,0,2711,12,23,4,2,2,5,0,1
106,0,1286,7,15,4,1,0,0,3,0
130,2,2609,9,29,4,3,0,3,0,0
301,0,1114,7,30,3,1,1,0,1,1
95,1,316,4,14,4,1,0,0,3,1
279,0,1819,10,12,3,3,0,0,0,0
0,0,1785,8,14,3,2,0,0,1,1
44,0,582,2,17,3,3,0,0,0,1
103,0,1286,7,18,3,1,2,0,1,1
34,1,1724,6,14,4,3,0,0,3,1
23,0,2520,9,9,4,2,2,3,0,0
23,0,292,10,15,2,1,0,0,0,1
106,0,2848,8,24,4,4,0,3,0,0
131,0,2453,10,17,4,1,1,3,0,0
55,2,1560,11,13,4,0,1,0,0,1
151,1,2157,7,6,4,4,1,3,0,0
38,1,2268,7,26,4,2,0,0,3,0
32,0,307,12,27,4,2,2,3,0,1
105,1,1751,10,21,4,2,2,0,3,0
167,0,2133,9,3,4,10,4,0,0,0
67,1,1812,4,3,4,1,2,3,0,1
0,1,292,3,14,2,0,1,0,0,1
18,1,582,1,21,4,2,0,0,3,1
6,0,435,3,1,3,5,2,0,0,1
11,0,320,1,30,2,1,0,0,0,1
8,0,2393,11,5,3,1,0,0,0,1
17,2,1929,10,1,4,3,0,0,0,1
33,1,1918,11,26,4,1,0,0,0,1
15,0,800,2,19,2,1,0,0,0,1
177,0,862,8,24,4,4,0,0,3,0
377,1,1979,10,14,3,2,0,0,1,0
110,0,1286,7,25,3,1,2,0,1,0
62,0,2537,9,11,4,1,2,0,0,0
23,1,1189,8,31,4,4,1,0,0,1
181,0,2250,12,14,4,2,0,0,1,1
144,2,1958,7,30,4,1,1,0,0,1
125,1,1854,8,3,4,6,2,0,0,1
157,0,794,8,25,4,5,2,0,3,0
162,0,21,9,17,3,3,0,0,0,1
83,3,2305,6,10,4,2,1,0,0,1
74,0,1525,9,18,3,2,0,0,1,1
167,0,703,10,5,3,2,0,0,0,0
1,1,2393,11,16,4,2,0,3,0,1
320,1,1299,8,20,4,1,2,1,0,1
4,1,661,1,15,4,1,0,0,3,1
92,0,1152,4,25,4,3,1,0,0,0
64,1,2305,4,29,4,2,1,0,0,0
149,0,794,8,27,3,3,2,0,0,1
8,1,3240,8,8,4,1,1,0,1,0
156,0,1594,8,21,4,1,2,0,3,0
193,0,2136,6,20,4,2,1,0,0,0
56,0,1253,12,7,4,3,0,0,0,0
105,0,2224,7,4,4,4,1,0,0,0
92,1,268,8,6,3,3,0,0,0,1
29,0,2914,5,18,4,1,0,3,0,0
2,1,1218,11,20,4,1,2,0,3,1
252,0,1694,10,15,4,1,2,0,0,0
73,1,2430,8,6,4,1,1,3,0,0
222,0,2949,8,14,4,10,4,5,0,0
133,1,915,3,11,3,2,1,0,0,1
13,0,338,2,22,4,0,1,0,3,1
3,2,751,12,19,4,1,1,0,3,1
1,2,2721,10,9,4,2,2,0,0,1
191,1,794,5,12,3,2,0,0,0,1
86,0,1030,9,24,3,2,0,0,0,1
57,0,2103,4,22,4,2,0,3,0,0
141,0,1152,9,16,3,4,2,3,0,1
3,1,800,8,10,4,3,1,0,3,1
65,0,497,10,8,3,3,0,0,0,1
0,0,830,1,14,4,1,0,0,0,1
65,1,2268,7,10,4,2,2,3,0,1
37,0,1302,10,13,3,3,0,0,0,1
57,0,650,3,30,4,4,0,0,3,0
195,1,1900,8,30,4,2,0,0,0,0
21,0,3277,8,19,4,3,2,0,1,1
127,0,770,4,28,3,3,1,0,0,1
10,0,492,2,19,3,1,0,0,0,1
195,0,2576,8,6,4,1,1,0,0,0
42,2,2682,4,29,4,2,1,0,0,1
34,0,201,11,1,3,1,2,3,0,1
73,1,850,3,29,4,4,0,0,0,1
0,0,1077,7,29,4,1,0,0,3,1
118,0,1819,6,6,3,2,1,0,0,1
13,0,2079,4,10,4,0,2,0,0,1
30,2,1849,10,19,4,3,0,0,0,1
98,0,2265,7,21,4,3,0,3,0,0
150,2,2440,7,14,4,8,2,3,0,0
1,0,435,6,17,3,2,1,0,0,1
18,2,2796,9,26,4,3,1,0,0,1
206,1,2305,9,8,4,3,0,1,0,0
114,2,1812,12,28,4,4,1,0,0,0
20,2,3088,11,7,4,3,1,0,3,1
159,0,446,12,29,3,4,0,0,0,1
34,0,1655,10,19,3,3,1,0,1,1
137,0,2497,7,28,4,3,1,3,0,0
33,0,1302,1,25,2,1,1,0,0,1
163,0,1471,6,5,3,2,2,0,0,0
62,0,1689,4,1,4,2,1,3,0,1
172,1,2576,7,28,4,2,0,3,0,0
134,1,2133,6,9,4,5,2,0,0,0
38,2,1735,8,27,4,2,2,0,3,1
12,1,2845,9,17,4,1,0,0,0,1
97,0,2415,5,18,4,4,0,0,3,0
27,2,1866,3,10,4,3,0,3,0,1
36,1,2268,3,23,4,4,2,3,0,0
63,1,1613,9,4,4,2,2,0,0,1
0,0,770,5,6,4,1,0,0,0,1
134,2,1673,5,26,4,3,1,0,0,1
86,0,1652,9,24,3,2,0,0,0,1
273,0,268,11,22,4,5,0,0,3,0
102,0,1785,10,16,3,2,0,0,1,1
124,1,1659,6,30,4,2,0,0,0,1
139,0,2419,7,13,4,7,2,3,0,0
66,1,1114,11,26,3,3,2,3,0,1
3,1,1682,3,12,4,1,1,0,3,1
127,0,1114,4,28,3,3,1,0,0,1
23,1,1979,4,27,4,1,0,0,3,1
123,1,644,8,12,4,2,0,0,0,1
32,0,257,12,27,3,5,1,0,0,1
4,1,1543,2,7,4,0,2,0,0,1
135,0,1114,9,14,3,2,1,0,0,1
124,2,2394,7,17,4,2,2,3,0,1
124,2,1668,12,26,4,3,1,3,0,0
230,1,2557,9,6,4,5,0,0,0,0
103,2,794,6,27,3,1,1,0,0,1
65,2,2268,9,8,4,1,0,0,3,1
199,0,695,12,28,4,4,2,3,0,0
55,1,373,11,24,4,3,2,0,0,1
192,0,1543,9,25,3,3,2,0,0,0
71,0,2136,6,14,3,3,0,0,0,1
14,2,3263,3,24,4,3,0,3,0,1
349,0,2226,10,4,3,5,1,0,0,0
87,1,2754,6,29,4,4,0,3,0,1
117,0,1286,8,1,4,1,2,0,1,0
115,1,1354,9,23,4,2,1,0,3,1
0,0,2005,3,4,4,2,0,3,0,1
39,1,2720,7,10,4,0,2,0,0,1
240,2,1152,10,27,4,3,1,0,0,1
69,2,1253,12,24,4,1,2,0,0,1
2,0,2306,6,28,4,1,0,0,3,1
79,1,1361,4,4,4,5,1,3,0,0
26,2,1785,11,2,4,3,0,0,3,1
14,1,3057,10,22,4,1,1,5,0,1
4,0,1682,2,14,4,7,4,3,0,1
0,2,2362,6,19,4,0,1,0,3,1
25,1,800,12,12,2,1,0,0,0,1
257,0,1525,7,1,3,2,0,0,1,0
33,0,1137,4,18,4,4,1,0,3,0
9,0,1155,6,23,4,1,0,0,0,0
23,0,403,12,9,4,4,1,0,0,1
275,0,1819,4,17,3,0,2,0,1,0
185,0,1594,12,16,4,2,1,3,0,1
53,1,2136,4,28,4,3,0,0,0,1
49,0,2661,9,2,4,1,0,3,0,0
122,0,937,4,15,3,2,0,0,0,0
72,2,1023,4,3,4,1,2,0,0,1
146,0,1302,4,24,4,0,2,0,0,0
181,0,2136,10,11,4,2,0,0,0,0
331,2,1850,12,27,4,5,1,3,0,0
66,1,2710,10,24,4,1,1,3,0,1
30,0,1022,11,11,4,2,1,0,3,1
268,0,698,4,8,3,3,2,0,0,0
177,1,1450,7,31,4,2,2,0,0,1
48,0,1886,11,3,3,3,1,0,0,1
46,1,1543,9,5,4,2,1,0,0,1
59,0,3058,9,24,4,1,1,3,0,0
31,1,96,12,19,4,1,0,0,3,1
61,1,2157,11,21,4,3,1,0,1,1
79,0,582,11,13,3,2,0,0,0,1
28,1,2409,7,2,4,3,2,0,3,1
12,1,2845,4,29,4,3,2,3,0,1
30,0,2619,6,2,3,2,0,0,0,1
177,0,1471,6,3,4,2,0,0,0,0
217,2,57,12,5,4,7,3,0,3,1
9,1,781,1,15,4,2,0,0,0,1
96,0,1152,9,13,3,3,0,3,0,1
134,1,461,4,19,3,4,0,0,0,1
24,3,3406,10,24,4,1,0,5,0,1
84,0,2576,7,13,4,1,0,3,0,1
77,0,2626,5,1,4,0,2,3,0,1
166,1,1481,6,19,4,2,2,0,0,0
144,1,1663,4,22,3,2,1,0,0,0
53,2,2103,10,4,4,3,0,0,0,1
93,1,952,6,26,4,0,1,0,3,1
1,0,582,11,1,2,1,0,0,0,1
16,1,3073,11,6,4,3,2,0,0,1
75,0,1168,3,28,4,3,1,0,0,1
0,2,2812,8,17,4,1,0,0,0,1
7,2,3201,9,13,4,1,0,3,0,1
95,2,2835,10,7,4,2,1,3,0,1
22,0,2619,5,20,3,2,0,0,0,1
43,0,2297,4,27,4,3,0,3,0,1
0,2,1682,8,19,4,1,0,0,0,1
0,1,2204,12,30,4,4,0,0,0,1
35,0,2324,8,29,4,4,1,0,0,0
18,0,1614,11,25,4,2,0,0,0,0
4,1,0,10,4,4,0,1,0,0,1
62,0,1614,7,20,3,3,1,0,1,1
107,1,2704,6,10,3,2,0,0,0,0
26,0,769,12,21,4,4,1,0,1,0
9,1,273,2,26,4,2,1,3,0,1
116,0,195,3,25,4,2,2,0,0,0
105,0,582,10,12,3,3,0,0,0,1
263,0,1819,10,21,3,2,0,0,0,0
42,0,489,11,4,3,2,0,0,0,1
30,1,1871,6,19,3,2,2,0,0,1
76,2,1415,10,9,4,2,1,0,0,1
70,1,286,4,3,4,4,2,0,0,1
56,0,2136,6,8,3,1,0,0,0,1
27,2,1614,12,7,4,1,0,0,0,1
66,1,1353,9,3,4,1,0,0,3,1
105,0,582,10,12,3,3,0,0,0,0
203,0,2007,9,27,4,3,0,0,3,0
1,0,937,9,29,2,1,0,0,0,1
17,1,201,12,26,3,2,2,0,0,1
21,1,1047,11,24,4,1,0,0,3,1
99,0,3442,10,21,4,3,2,5,1,0
5,0,2267,5,15,3,1,2,0,1,1
125,2,2453,10,17,4,0,1,3,0,1
99,1,2537,5,19,4,1,0,0,0,0
31,0,2848,2,26,4,2,0,5,0,0
70,0,1471,6,3,3,2,0,0,0,1
88,0,2864,8,23,4,5,2,3,0,1
6,1,2801,4,2,4,1,2,3,0,1
41,2,2979,7,19,4,2,0,0,1,1
165,2,1450,7,21,4,3,2,0,0,1
10,0,1375,3,13,4,0,1,0,3,0
29,0,373,11,23,4,4,0,0,0,0
67,1,1560,11,22,4,1,0,3,0,1
180,0,2136,10,10,3,2,1,0,0,0
23,0,3170,11,6,4,2,2,0,0,1
67,1,1286,7,23,4,1,1,0,3,1
181,2,2079,5,23,4,2,1,0,0,0
79,0,1785,6,24,3,2,0,0,1,1
1,1,553,4,15,4,1,0,0,0,1
15,0,731,1,26,2,2,0,0,0,1
16,0,1302,6,16,2,1,0,0,0,1
12,0,2393,10,20,2,2,0,0,0,1
39,0,1079,6,27,4,0,1,0,3,0
193,0,2136,6,20,3,2,1,0,0,0
65,1,2103,4,23,4,1,0,3,0,1
56,0,833,9,17,3,2,0,0,1,1
20,2,1369,12,21,4,4,1,3,0,1
20,0,1804,6,12,4,0,1,0,0,1
23,1,3106,5,22,4,0,1,3,0,1
20,1,988,9,1,3,5,2,1,0,1
6,0,292,12,17,2,2,0,0,0,1
265,1,1979,6,24,4,2,0,0,1,0
21,1,3354,11,7,4,2,1,3,0,1
151,0,770,1,19,3,3,0,0,0,1
290,1,489,6,17,3,2,1,0,0,1
296,1,2044,9,21,3,4,0,0,1,0
11,0,1060,10,23,3,2,2,0,0,1
112,1,1296,9,15,4,3,0,0,0,1
78,2,988,11,23,4,1,0,0,0,1
37,1,2682,3,25,4,1,0,0,0,0
304,0,560,10,21,4,2,1,0,0,0
251,2,563,12,28,4,9,2,1,0,0
6,1,292,12,26,2,0,1,0,0,1
4,0,183,1,25,2,0,1,0,0,1
122,0,1309,4,29,4,2,2,0,0,0
40,2,2291,3,4,4,2,0,0,0,1
141,2,1761,5,29,4,3,2,3,0,1
0,0,0,11,16,1,0,1,4,0,1
114,1,937,12,1,4,3,1,0,0,0
58,1,1151,3,31,4,3,0,0,0,1
168,0,3334,11,25,4,2,2,6,0,0
55,2,547,11,10,4,1,0,0,0,1
9,2,3270,6,27,4,3,1,3,1,1
56,1,1253,12,9,4,2,1,0,0,1
224,1,1976,9,4,4,4,2,0,0,0
87,1,751,4,4,4,2,1,0,3,1
251,1,532,11,21,4,1,1,0,3,1
17,1,1744,2,19,4,7,3,3,0,0
60,0,582,3,20,3,2,2,0,0,0
23,1,2109,10,20,4,2,0,0,3,0
237,0,794,9,14,4,2,1,0,0,0
110,0,1531,5,5,4,3,1,0,3,1
39,1,292,12,27,3,1,0,0,0,1
62,0,2803,8,13,4,1,2,3,0,0
134,1,1450,5,5,4,3,2,0,0,1
183,2,774,10,29,4,1,2,0,3,0
2,1,1023,1,8,4,2,1,0,0,1
38,0,1438,6,1,4,2,0,0,0,1
37,0,1871,8,28,3,0,2,0,0,1
62,3,2288,11,19,4,1,2,3,0,1
195,2,1151,10,18,4,4,0,0,0,0
1,1,3298,5,20,4,1,0,5,0,1
138,1,1385,7,3,4,2,2,0,0,0
180,0,2136,10,10,4,2,1,0,0,0
130,0,221,2,20,4,1,0,1,0,0
1,2,2109,8,24,4,1,0,0,3,1
0,0,321,9,4,3,2,1,0,0,1
31,0,1205,10,25,4,0,2,0,0,1
48,0,1023,10,9,3,2,0,3,0,1
5,1,996,11,17,3,2,0,0,0,1
136,1,2727,8,12,4,2,0,3,0,1
101,2,2626,5,19,4,3,0,3,0,1
30,0,1851,4,6,4,3,0,4,0,1
4,0,1189,8,12,4,2,0,0,3,1
77,0,497,4,2,4,2,2,0,0,1
0,0,731,2,18,4,1,0,0,3,1
12,0,1155,2,18,4,3,1,0,0,1
216,2,1353,8,27,4,1,2,0,0,1
199,1,268,11,4,3,2,1,0,0,1
44,0,705,3,12,4,3,2,0,0,0
23,2,2003,12,30,4,4,2,3,0,1
83,0,889,5,18,4,2,0,0,3,1
346,0,1114,9,13,3,2,0,0,1,1
150,1,1749,8,8,4,5,2,0,0,1
67,2,497,11,13,4,1,0,0,0,1
0,1,2539,10,6,4,1,0,3,0,1
22,0,3368,10,10,4,3,1,3,0,0
3,0,689,11,2,4,1,1,0,0,1
26,0,2657,4,15,4,2,0,3,0,0
224,0,837,12,29,4,3,2,0,0,0
245,0,1819,7,6,4,4,2,0,0,0
39,0,774,2,27,4,1,1,0,0,0
69,0,2136,6,12,3,4,2,0,0,0
57,1,928,10,10,4,1,2,0,3,1
31,0,830,3,9,4,1,0,0,0,0
3,0,770,3,7,2,1,1,0,0,1
129,1,1958,8,15,4,2,1,0,0,1
44,1,2848,8,17,4,4,0,0,0,1
100,1,1244,3,25,4,2,1,0,0,0
17,1,231,2,13,4,2,2,0,0,1
131,2,2177,7,3,4,0,2,0,0,1
83,2,1353,4,10,4,1,2,0,0,1
165,2,2661,7,18,4,1,1,3,0,0
44,0,1253,5,31,4,2,0,0,3,0
180,0,1782,10,1,4,1,2,0,0,0
12,0,2200,4,27,4,3,0,0,3,1
270,0,246,4,20,3,4,0,0,0,0
3,0,0,4,9,1,1,0,0,1,1
196,1,794,5,12,3,3,1,0,0,1
39,1,389,6,21,4,3,0,0,3,1
27,0,1751,9,30,3,2,0,0,0,1
118,1,1023,4,3,4,1,2,0,0,0
44,1,712,3,13,4,2,2,0,0,0
172,1,1963,8,10,3,4,0,3,0,0
93,0,2356,6,14,4,4,0,0,3,0
42,1,706,1,16,4,1,2,0,0,1
37,0,1652,10,13,3,3,0,0,0,1
32,3,1286,9,5,4,1,2,0,0,1
32,0,522,11,20,3,2,0,0,0,1
0,0,2288,10,1,4,1,0,0,0,1
135,0,1450,7,23,4,2,2,0,0,0
20,0,582,10,18,3,1,2,3,0,1
28,1,1768,6,14,4,3,0,3,0,1
90,0,1085,10,25,4,4,2,0,0,1
49,2,2921,12,8,4,3,0,5,0,1
1,1,2306,6,27,4,0,1,0,3,1
20,1,952,9,25,3,0,2,0,0,1
33,1,1652,10,25,3,3,2,3,0,1
10,1,1077,4,3,4,0,2,0,3,1
320,0,1114,8,18,3,2,0,0,1,1
202,1,1353,7,29,4,1,0,0,0,0
13,0,3440,10,7,4,3,2,6,0,0
56,0,3210,9,25,3,2,2,0,0,1
156,0,1450,8,2,4,4,0,0,0,0
1,2,731,6,13,4,1,1,0,3,1
63,0,3138,7,19,4,2,0,5,0,0
31,0,1762,8,28,3,3,2,0,1,1
131,0,1751,10,10,4,0,1,0,3,0
13,0,1114,5,9,3,2,1,0,0,1
44,1,2518,3,20,4,2,2,3,0,1
41,1,901,3,10,4,3,0,0,0,1
155,0,988,8,28,4,0,2,0,3,0
17,0,320,2,19,3,2,1,0,0,1
122,0,937,4,15,3,2,0,0,0,1
49,2,919,2,6,4,2,2,3,0,1
69,2,1335,10,30,4,2,2,0,0,1
56,1,1724,7,1,4,2,1,0,3,1
18,0,2362,4,13,2,1,0,0,0,1
128,2,2044,4,9,4,1,2,3,0,0
55,0,471,12,31,3,3,0,0,0,1
14,0,1501,9,14,4,2,1,0,3,0
67,0,2956,5,7,4,1,0,0,0,0
25,2,2754,11,18,4,3,2,0,1,1
117,1,2288,11,4,4,5,2,0,3,0
14,1,690,12,7,4,4,0,0,3,1
125,0,1932,7,22,4,5,2,3,0,0
196,2,143,8,16,4,5,2,0,0,1
62,0,1716,9,3,4,2,2,0,0,0
5,2,1953,9,9,4,2,0,0,0,1
50,1,988,9,24,4,1,0,0,3,1
1,1,2334,5,31,4,2,0,0,3,1
52,0,1286,7,18,4,2,1,0,3,0
261,0,371,11,20,3,1,2,0,0,0
6,0,2362,5,10,4,4,0,0,3,0
3,0,731,2,2,4,1,0,0,0,1
68,0,292,9,29,3,2,0,0,0,1
198,3,2956,9,22,4,3,0,3,0,1
